id,android_id,time_stamp,x,y,z,created_at,updated_at,notes,height,weight
161,cc6b0ef12a58def2,1427380610111,-0.48841715,4.7788267,8.868123,2015-03-26 16:32:12 UTC,2015-03-26 16:32:12 UTC,walk around block,70.0,185.0
162,cc6b0ef12a58def2,1427380610158,-0.545878,4.8841715,8.619126,2015-03-26 16:32:12 UTC,2015-03-26 16:32:12 UTC,walk around block,70.0,185.0
163,cc6b0ef12a58def2,1427380610187,-0.9672575,5.0661306,9.490616,2015-03-26 16:32:12 UTC,2015-03-26 16:32:12 UTC,walk around block,70.0,185.0
164,cc6b0ef12a58def2,1427380610210,-1.3790601,4.759673,9.797073,2015-03-26 16:32:12 UTC,2015-03-26 16:32:12 UTC,walk around block,70.0,185.0
165,cc6b0ef12a58def2,1427380610231,-1.283292,4.721366,9.270349,2015-03-26 16:32:12 UTC,2015-03-26 16:32:12 UTC,walk around block,70.0,185.0
166,cc6b0ef12a58def2,1427380610259,-0.92895025,4.9895163,8.781932,2015-03-26 16:32:12 UTC,2015-03-26 16:32:12 UTC,walk around block,70.0,185.0
167,cc6b0ef12a58def2,1427380610289,-0.93852705,5.085284,8.820239,2015-03-26 16:32:12 UTC,2015-03-26 16:32:12 UTC,walk around block,70.0,185.0
168,cc6b0ef12a58def2,1427380610323,-0.7661445,4.8745947,9.56723,2015-03-26 16:32:12 UTC,2015-03-26 16:32:12 UTC,walk around block,70.0,185.0
169,cc6b0ef12a58def2,1427380610356,-0.79487497,4.7979803,9.825804,2015-03-26 16:32:12 UTC,2015-03-26 16:32:12 UTC,walk around block,70.0,185.0
170,cc6b0ef12a58def2,1427380610402,-0.7182605,4.6160207,8.772355,2015-03-26 16:32:12 UTC,2015-03-26 16:32:12 UTC,walk around block,70.0,185.0
171,cc6b0ef12a58def2,1427380610429,-0.19153613,4.7405195,8.63828,2015-03-26 16:32:12 UTC,2015-03-26 16:32:12 UTC,walk around block,70.0,185.0
172,cc6b0ef12a58def2,1427380610455,-0.62249243,4.5298295,9.097966,2015-03-26 16:32:12 UTC,2015-03-26 16:32:12 UTC,walk around block,70.0,185.0
173,cc6b0ef12a58def2,1427380610481,-0.4405331,4.76925,9.883265,2015-03-26 16:32:12 UTC,2015-03-26 16:32:12 UTC,walk around block,70.0,185.0
174,cc6b0ef12a58def2,1427380610506,-0.23942018,4.8745947,9.768343,2015-03-26 16:32:12 UTC,2015-03-26 16:32:12 UTC,walk around block,70.0,185.0
175,cc6b0ef12a58def2,1427380610533,-0.80445176,4.548983,8.925584,2015-03-26 16:32:12 UTC,2015-03-26 16:32:12 UTC,walk around block,70.0,185.0
176,cc6b0ef12a58def2,1427380610559,-0.60333884,4.309563,9.193734,2015-03-26 16:32:12 UTC,2015-03-26 16:32:12 UTC,walk around block,70.0,185.0
177,cc6b0ef12a58def2,1427380610604,-0.6512229,4.55856,9.557653,2015-03-26 16:32:12 UTC,2015-03-26 16:32:12 UTC,walk around block,70.0,185.0
178,cc6b0ef12a58def2,1427380610644,-0.38307226,4.414908,9.385271,2015-03-26 16:32:12 UTC,2015-03-26 16:32:12 UTC,walk around block,70.0,185.0
179,cc6b0ef12a58def2,1427380610674,-1.6089035,4.663905,9.414001,2015-03-26 16:32:12 UTC,2015-03-26 16:32:12 UTC,walk around block,70.0,185.0
180,cc6b0ef12a58def2,1427380610714,-0.8714894,4.5298295,9.346964,2015-03-26 16:32:13 UTC,2015-03-26 16:32:13 UTC,walk around block,70.0,185.0
181,cc6b0ef12a58def2,1427380610745,-0.90979666,4.10845,9.883265,2015-03-26 16:32:13 UTC,2015-03-26 16:32:13 UTC,walk around block,70.0,185.0
182,cc6b0ef12a58def2,1427380610774,-0.6607997,3.7828386,9.490616,2015-03-26 16:32:13 UTC,2015-03-26 16:32:13 UTC,walk around block,70.0,185.0
