id,android_id,time_stamp,x,y,z,notes,created_at,updated_at,csv
24,,,,,,,2015-02-24 02:25:34 UTC,2015-02-24 02:25:34 UTC,test.txt
25,,,,,,,2015-02-24 03:01:20 UTC,2015-02-24 03:01:20 UTC,
26,,,,,,,2015-02-24 03:01:37 UTC,2015-02-24 03:01:37 UTC,
27,,,,,,,2015-02-24 03:05:58 UTC,2015-02-24 03:05:58 UTC,
28,,,,,,,2015-02-24 03:08:41 UTC,2015-02-24 03:08:41 UTC,
29,,,,,,,2015-02-24 03:11:12 UTC,2015-02-24 03:11:12 UTC,
30,,,,,,,2015-02-24 03:15:30 UTC,2015-02-24 03:15:30 UTC,
31,test1,uijhjjhkk,12.0,34.0,12.0,go home,2015-02-24 03:54:21 UTC,2015-02-24 03:54:21 UTC,
32,test2,fasdfsdm,12.0,12.0,12.0,go home,2015-02-24 03:54:21 UTC,2015-02-24 03:54:21 UTC,
33,41af43bb3f9077ea,1423097232444,0.29257202,-0.05935669,9.893463,,2015-02-24 04:00:23 UTC,2015-02-24 04:00:23 UTC,
34,41af43bb3f9077ea,1423097232959,0.29257202,-0.07661438,9.878586,,2015-02-24 04:00:23 UTC,2015-02-24 04:00:23 UTC,
35,41af43bb3f9077ea,1423097233478,0.31280518,-0.06768799,9.924408,,2015-02-24 04:00:23 UTC,2015-02-24 04:00:23 UTC,
36,41af43bb3f9077ea,1423097233991,0.31221008,-0.06947327,9.885132,,2015-02-24 04:00:23 UTC,2015-02-24 04:00:23 UTC,
37,41af43bb3f9077ea,1423097234507,0.30744934,-0.0831604,9.869064,,2015-02-24 04:00:23 UTC,2015-02-24 04:00:23 UTC,
38,41af43bb3f9077ea,1423097235022,0.2949524,-0.056381226,9.891083,,2015-02-24 04:00:23 UTC,2015-02-24 04:00:23 UTC,
39,41af43bb3f9077ea,1423097235539,0.3354187,-0.07304382,9.87561,,2015-02-24 04:00:23 UTC,2015-02-24 04:00:23 UTC,
40,41af43bb3f9077ea,1423097236054,0.30625916,-0.06530762,9.884537,,2015-02-24 04:00:23 UTC,2015-02-24 04:00:23 UTC,
41,41af43bb3f9077ea,1423097236568,0.33720398,-0.07720947,9.916077,,2015-02-24 04:00:23 UTC,2015-02-24 04:00:23 UTC,
42,41af43bb3f9077ea,1423097237089,0.32351685,-0.095062256,9.847641,,2015-02-24 04:00:23 UTC,2015-02-24 04:00:23 UTC,
43,41af43bb3f9077ea,1423097237601,0.2872162,-0.064712524,9.832764,,2015-02-24 04:00:23 UTC,2015-02-24 04:00:23 UTC,
44,41af43bb3f9077ea,1423097238117,0.32113647,-0.055786133,9.860138,,2015-02-24 04:00:23 UTC,2015-02-24 04:00:23 UTC,
